DATE,CUSR0000SEHF02
1952-01-01,13.2666666666666667
1952-04-01,13.3333333333333333
1952-07-01,13.4000000000000000
1952-10-01,13.4666666666666667
1953-01-01,13.6333333333333333
1953-04-01,13.7333333333333333
1953-07-01,13.8666666666666667
1953-10-01,13.9666666666666667
1954-01-01,14.0000000000000000
1954-04-01,14.0333333333333333
1954-07-01,14.0333333333333333
1954-10-01,14.2000000000000000
1955-01-01,14.4000000000000000
1955-04-01,14.6000000000000000
1955-07-01,14.6666666666666667
1955-10-01,14.7666666666666667
1956-01-01,14.8000000000000000
1956-04-01,14.8333333333333333
1956-07-01,14.9000000000000000
1956-10-01,14.9000000000000000
1957-01-01,14.9000000000000000
1957-04-01,15.0000000000000000
1957-07-01,15.2000000000000000
1957-10-01,15.3666666666666667
1958-01-01,15.7333333333333333
1958-04-01,15.9000000000000000
1958-07-01,16.1333333333333333
1958-10-01,16.2000000000000000
1959-01-01,16.2666666666666667
1959-04-01,16.3333333333333333
1959-07-01,16.6666666666666667
1959-10-01,16.9666666666666667
1960-01-01,17.3333333333333333
1960-04-01,17.6000000000000000
1960-07-01,17.7333333333333333
1960-10-01,17.8333333333333333
1961-01-01,17.8666666666666667
1961-04-01,17.9666666666666667
1961-07-01,17.8666666666666667
1961-10-01,17.8000000000000000
1962-01-01,17.8333333333333333
1962-04-01,17.9000000000000000
1962-07-01,17.9000000000000000
1962-10-01,17.8666666666666667
1963-01-01,17.9000000000000000
1963-04-01,17.9000000000000000
1963-07-01,17.7333333333333333
1963-10-01,17.9000000000000000
1964-01-01,17.6000000000000000
1964-04-01,18.0333333333333333
1964-07-01,18.1000000000000000
1964-10-01,18.1000000000000000
1965-01-01,17.9666666666666667
1965-04-01,17.9666666666666667
1965-07-01,17.9000000000000000
1965-10-01,18.0666666666666667
1966-01-01,18.0666666666666667
1966-04-01,18.1000000000000000
1966-07-01,18.1000000000000000
1966-10-01,18.0666666666666667
1967-01-01,18.0000000000000000
1967-04-01,18.0333333333333333
1967-07-01,18.1333333333333333
1967-10-01,18.1000000000000000
1968-01-01,18.1000000000000000
1968-04-01,18.1333333333333333
1968-07-01,18.3333333333333333
1968-10-01,18.3333333333333333
1969-01-01,18.3666666666666667
1969-04-01,18.4333333333333333
1969-07-01,18.5666666666666667
1969-10-01,18.9000000000000000
1970-01-01,19.1666666666666667
1970-04-01,19.4333333333333333
1970-07-01,19.7333333333333333
1970-10-01,20.0000000000000000
1971-01-01,20.4000000000000000
1971-04-01,20.9000000000000000
1971-07-01,21.2000000000000000
1971-10-01,21.4666666666666667
1972-01-01,21.8333333333333333
1972-04-01,21.9000000000000000
1972-07-01,22.1333333333333333
1972-10-01,22.4333333333333333
1973-01-01,22.6000000000000000
1973-04-01,22.8000000000000000
1973-07-01,23.1666666666666667
1973-10-01,23.7666666666666667
1974-01-01,24.4666666666666667
1974-04-01,25.2666666666666667
1974-07-01,26.5666666666666667
1974-10-01,27.6000000000000000
1975-01-01,28.9666666666666667
1975-04-01,30.7000000000000000
1975-07-01,31.8333333333333333
