DATE,CUSR0000SASLE
1967-01-01,28.9000000000000000
1967-04-01,29.1333333333333333
1967-07-01,29.4333333333333333
1967-10-01,29.8000000000000000
1968-01-01,30.2333333333333333
1968-04-01,30.6666666666666667
1968-07-01,31.2666666666666667
1968-10-01,31.7333333333333333
1969-01-01,32.3333333333333333
1969-04-01,32.9666666666666667
1969-07-01,33.5333333333333333
1969-10-01,34.1000000000000000
1970-01-01,34.9333333333333333
1970-04-01,35.7333333333333333
1970-07-01,36.4000000000000000
1970-10-01,37.0000000000000000
1971-01-01,37.4333333333333333
1971-04-01,37.7000000000000000
1971-07-01,38.2666666666666667
1971-10-01,38.6000000000000000
1972-01-01,39.0000000000000000
1972-04-01,39.2333333333333333
1972-07-01,39.6000000000000000
1972-10-01,39.9000000000000000
1973-01-01,40.2333333333333333
1973-04-01,40.6333333333333333
1973-07-01,41.2333333333333333
1973-10-01,42.3000000000000000
1974-01-01,43.0333333333333333
1974-04-01,44.0000000000000000
1974-07-01,45.4000000000000000
1974-10-01,46.7000000000000000
1975-01-01,47.6666666666666667
1975-04-01,48.3000000000000000
1975-07-01,49.1000000000000000
1975-10-01,50.3000000000000000
1976-01-01,51.5000000000000000
1976-04-01,52.2333333333333333
1976-07-01,53.2000000000000000
1976-10-01,54.0333333333333333
1977-01-01,54.9666666666666667
1977-04-01,56.0666666666666667
1977-07-01,57.2000000000000000
1977-10-01,58.1000000000000000
1978-01-01,59.2666666666666667
1978-04-01,60.5666666666666667
1978-07-01,62.2000000000000000
1978-10-01,63.7000000000000000
1979-01-01,65.0666666666666667
1979-04-01,66.8666666666666667
1979-07-01,69.1333333333333333
1979-10-01,71.7666666666666667
1980-01-01,74.9333333333333333
1980-04-01,78.5000000000000000
1980-07-01,79.2333333333333333
1980-10-01,81.7333333333333333
1981-01-01,84.3333333333333333
1981-04-01,87.0333333333333333
1981-07-01,90.7000000000000000
1981-10-01,93.0333333333333333
1982-01-01,94.2333333333333333
1982-04-01,96.1333333333333333
1982-07-01,97.8000000000000000
1982-10-01,97.4666666666666667
1983-01-01,97.6000000000000000
1983-04-01,98.7000000000000000
1983-07-01,99.7333333333333333
1983-10-01,101.0333333333333333
1984-01-01,102.5666666666666667
1984-04-01,103.8666666666666667
1984-07-01,105.3333333333333333
1984-10-01,106.7000000000000000
1985-01-01,108.0000000000000000
1985-04-01,109.5000000000000000
1985-07-01,111.1333333333333333
1985-10-01,112.6666666666666667
1986-01-01,114.3666666666666667
1986-04-01,115.9666666666666667
1986-07-01,117.2333333333333333
1986-10-01,118.7000000000000000
1987-01-01,119.8333333333333333
1987-04-01,121.3000000000000000
1987-07-01,122.5666666666666667
1987-10-01,124.1666666666666667
1988-01-01,125.6000000000000000
1988-04-01,127.2000000000000000
1988-07-01,128.6666666666666667
1988-10-01,130.2333333333333333
1989-01-01,131.9000000000000000
1989-04-01,133.5666666666666667
1989-07-01,135.3000000000000000
1989-10-01,137.0000000000000000
1990-01-01,138.8666666666666667
1990-04-01,141.1000000000000000
1990-07-01,143.7000000000000000
1990-10-01,145.5333333333333333
1991-01-01,147.5666666666666667
1991-04-01,148.9000000000000000
1991-07-01,150.6000000000000000
1991-10-01,152.2000000000000000
1992-01-01,153.7666666666666667
1992-04-01,155.2000000000000000
1992-07-01,156.4333333333333333
1992-10-01,158.1333333333333333
1993-01-01,159.7000000000000000
1993-04-01,161.2666666666666667
1993-07-01,162.6000000000000000
1993-10-01,164.1000000000000000
1994-01-01,165.7000000000000000
1994-04-01,166.8666666666666667
1994-07-01,168.2000000000000000
1994-10-01,169.6333333333333333
1995-01-01,171.3666666666666667
1995-04-01,173.1000000000000000
1995-07-01,174.4000000000000000
1995-10-01,175.8333333333333333
1996-01-01,177.2333333333333333
1996-04-01,178.6333333333333333
1996-07-01,180.2000000000000000
1996-10-01,181.6666666666666667
1997-01-01,182.9000000000000000
1997-04-01,184.3333333333333333
1997-07-01,185.6333333333333333
1997-10-01,187.0333333333333333
1998-01-01,188.5333333333333333
1998-04-01,189.9333333333333333
1998-07-01,191.2333333333333333
1998-10-01,192.7333333333333333
1999-01-01,193.7666666666666667
1999-04-01,195.0666666666666667
1999-07-01,196.2666666666666667
1999-10-01,197.8000000000000000
2000-01-01,199.6333333333333333
2000-04-01,201.2333333333333333
2000-07-01,203.1000000000000000
2000-10-01,204.6333333333333333
2001-01-01,206.6333333333333333
2001-04-01,208.5333333333333333
2001-07-01,210.6333333333333333
2001-10-01,212.5666666666666667
2002-01-01,214.8666666666666667
2002-04-01,216.5333333333333333
2002-07-01,218.4000000000000000
2002-10-01,220.1333333333333333
2003-01-01,221.7666666666666667
2003-04-01,222.8666666666666667
2003-07-01,224.4333333333333333
2003-10-01,226.0666666666666667
2004-01-01,227.6000000000000000
2004-04-01,229.5000000000000000
2004-07-01,231.0000000000000000
2004-10-01,232.4666666666666667
2005-01-01,234.3333333333333333
2005-04-01,235.9000000000000000
2005-07-01,237.1000000000000000
2005-10-01,239.1000000000000000
2006-01-01,241.1333333333333333
2006-04-01,243.6666666666666667
2006-07-01,245.9333333333333333
2006-10-01,248.0000000000000000
2007-01-01,250.1220000000000000
2007-04-01,252.0076666666666667
2007-07-01,253.9203333333333333
2007-10-01,256.1586666666666667
2008-01-01,258.3180000000000000
2008-04-01,260.0623333333333333
2008-07-01,262.2020000000000000
2008-10-01,263.4393333333333333
2009-01-01,264.6500000000000000
2009-04-01,265.4493333333333333
2009-07-01,266.2863333333333333
2009-10-01,267.1310000000000000
2010-01-01,266.9450000000000000
2010-04-01,267.8600000000000000
