DATE,CUSR0000SETB01
1967-01-01,26.2000000000000000
1967-04-01,26.4000000000000000
1967-07-01,26.5000000000000000
1967-10-01,26.5333333333333333
1968-01-01,26.8333333333333333
1968-04-01,26.6000000000000000
1968-07-01,26.9000000000000000
1968-10-01,26.9666666666666667
1969-01-01,27.3333333333333333
1969-04-01,27.9000000000000000
1969-07-01,27.7666666666666667
1969-10-01,27.6666666666666667
1970-01-01,27.5333333333333333
1970-04-01,28.0666666666666667
1970-07-01,27.7333333333333333
1970-10-01,28.2333333333333333
1971-01-01,28.2000000000000000
1971-04-01,27.5666666666666667
1971-07-01,28.1000000000000000
1971-10-01,28.5333333333333333
1972-01-01,28.1666666666666667
1972-04-01,27.8666666666666667
1972-07-01,28.4666666666666667
1972-10-01,29.2333333333333333
1973-01-01,29.5666666666666667
1973-04-01,30.5666666666666667
1973-07-01,30.9333333333333333
1973-10-01,33.7000000000000000
1974-01-01,39.5666666666666667
1974-04-01,43.3666666666666667
1974-07-01,43.5000000000000000
1974-10-01,42.5000000000000000
1975-01-01,42.8666666666666667
1975-04-01,43.6666666666666667
1975-07-01,46.5666666666666667
1975-10-01,47.3333333333333333
1976-01-01,46.7333333333333333
1976-04-01,46.2000000000000000
1976-07-01,46.9666666666666667
1976-10-01,48.1000000000000000
1977-01-01,49.1333333333333333
1977-04-01,49.8666666666666667
1977-07-01,49.4666666666666667
1977-10-01,50.5000000000000000
1978-01-01,50.7666666666666667
1978-04-01,50.5666666666666667
1978-07-01,51.8333333333333333
1978-10-01,54.4333333333333333
1979-01-01,57.1666666666666667
1979-04-01,65.5333333333333333
1979-07-01,75.8333333333333333
1979-10-01,82.0333333333333333
1980-01-01,94.6000000000000000
1980-04-01,98.5333333333333333
1980-07-01,97.8333333333333333
1980-10-01,98.9000000000000000
1981-01-01,108.9000000000000000
1981-04-01,109.1333333333333333
1981-07-01,107.3666666666666667
1981-10-01,108.6666666666666667
1982-01-01,105.9666666666666667
1982-04-01,99.2666666666666667
1982-07-01,103.9000000000000000
1982-10-01,102.1333333333333333
1983-01-01,96.3666666666666667
1983-04-01,99.9666666666666667
1983-07-01,101.6000000000000000
1983-10-01,99.6666666666666667
1984-01-01,99.5333333333333333
1984-04-01,99.1333333333333333
1984-07-01,95.7666666666666667
1984-10-01,96.7000000000000000
1985-01-01,97.0000000000000000
1985-04-01,99.5666666666666667
1985-07-01,98.9000000000000000
1985-10-01,98.8000000000000000
1986-01-01,93.0333333333333333
1986-04-01,75.8000000000000000
1986-07-01,70.8333333333333333
1986-10-01,68.8333333333333333
1987-01-01,77.0000000000000000
1987-04-01,78.7666666666666667
1987-07-01,82.2000000000000000
1987-10-01,82.3333333333333333
1988-01-01,80.5666666666666667
1988-04-01,80.2000000000000000
1988-07-01,81.7333333333333333
1988-10-01,80.6000000000000000
1989-01-01,82.6666666666666667
1989-04-01,94.5666666666666667
1989-07-01,89.7666666666666667
1989-10-01,86.6333333333333333
1990-01-01,92.7333333333333333
1990-04-01,92.3666666666666667
1990-07-01,101.1000000000000000
1990-10-01,117.2333333333333333
1991-01-01,103.7333333333333333
1991-04-01,98.3666666666666667
1991-07-01,97.2000000000000000
1991-10-01,97.7666666666666667
1992-01-01,96.7666666666666667
1992-04-01,97.9666666666666667
1992-07-01,99.8666666666666667
1992-10-01,101.2666666666666667
1993-01-01,101.2333333333333333
1993-04-01,98.1000000000000000
1993-07-01,94.7000000000000000
1993-10-01,97.2666666666666667
1994-01-01,95.5333333333333333
1994-04-01,94.8333333333333333
1994-07-01,100.6666666666666667
1994-10-01,101.7666666666666667
1995-01-01,100.6666666666666667
1995-04-01,101.9000000000000000
1995-07-01,99.6333333333333333
1995-10-01,96.9666666666666667
1996-01-01,102.2333333333333333
1996-04-01,108.7666666666666667
1996-07-01,104.9666666666666667
1996-10-01,107.4333333333333333
1997-01-01,110.0000000000000000
1997-04-01,103.1333333333333333
1997-07-01,105.3333333333333333
1997-10-01,104.7333333333333333
1998-01-01,95.7000000000000000
1998-04-01,91.0666666666666667
1998-07-01,90.7666666666666667
1998-10-01,89.1000000000000000
1999-01-01,86.5000000000000000
1999-04-01,97.6666666666666667
1999-07-01,105.5666666666666667
1999-10-01,110.8000000000000000
2000-01-01,122.9666666666666667
2000-04-01,128.1333333333333333
2000-07-01,131.4000000000000000
2000-10-01,131.6333333333333333
2001-01-01,128.4666666666666667
2001-04-01,135.1000000000000000
2001-07-01,124.7333333333333333
2001-10-01,106.7666666666666667
2002-01-01,102.6666666666666667
2002-04-01,116.3666666666666667
2002-07-01,119.6000000000000000
2002-10-01,125.2333333333333333
2003-01-01,144.3333333333333333
2003-04-01,124.1333333333333333
2003-07-01,136.1000000000000000
2003-10-01,137.5333333333333333
2004-01-01,150.1666666666666667
2004-04-01,154.0333333333333333
2004-07-01,159.0333333333333333
2004-10-01,175.9666666666666667
2005-01-01,172.6000000000000000
2005-04-01,175.2333333333333333
2005-07-01,217.6333333333333333
2005-10-01,213.8333333333333333
2006-01-01,210.5666666666666667
2006-04-01,226.5333333333333333
2006-07-01,239.7666666666666667
2006-10-01,201.1000000000000000
2007-01-01,212.1720000000000000
2007-04-01,236.9200000000000000
2007-07-01,241.0136666666666667
2007-10-01,262.0350000000000000
2008-01-01,276.6130000000000000
2008-04-01,296.0296666666666667
2008-07-01,324.8783333333333333
2008-10-01,208.1973333333333333
2009-01-01,167.2320000000000000
2009-04-01,186.1516666666666667
2009-07-01,220.5480000000000000
2009-10-01,234.7106666666666667
2010-01-01,236.9623333333333333
2010-04-01,227.7013333333333333
