DATE,RNUSBIS
1964-01-01,115.6500000000000000
1964-04-01,117.1700000000000000
1964-07-01,118.1433333333333333
1964-10-01,116.5900000000000000
1965-01-01,115.6166666666666667
1965-04-01,115.2766666666666667
1965-07-01,115.2200000000000000
1965-10-01,114.4200000000000000
1966-01-01,113.8500000000000000
1966-04-01,113.7866666666666667
1966-07-01,113.9800000000000000
1966-10-01,114.1200000000000000
1967-01-01,112.9533333333333333
1967-04-01,112.9100000000000000
1967-07-01,112.7333333333333333
1967-10-01,113.2300000000000000
1968-01-01,114.2733333333333333
1968-04-01,114.4300000000000000
1968-07-01,114.6000000000000000
1968-10-01,114.6666666666666667
1969-01-01,115.1766666666666667
1969-04-01,115.8000000000000000
1969-07-01,116.2400000000000000
1969-10-01,115.7733333333333333
1970-01-01,115.3133333333333333
1970-04-01,115.6533333333333333
1970-07-01,114.9766666666666667
1970-10-01,114.8566666666666667
1971-01-01,113.5166666666666667
1971-04-01,113.2466666666666667
1971-07-01,112.4700000000000000
1971-10-01,108.6533333333333333
1972-01-01,104.8966666666666667
1972-04-01,103.5000000000000000
1972-07-01,103.0533333333333333
1972-10-01,103.5366666666666667
1973-01-01,99.3566666666666667
1973-04-01,94.8066666666666667
1973-07-01,92.2933333333333333
1973-10-01,93.1633333333333333
1974-01-01,92.9133333333333333
1974-04-01,89.2800000000000000
1974-07-01,91.2566666666666667
1974-10-01,90.7666666666666667
1975-01-01,88.6166666666666667
1975-04-01,87.8733333333333333
1975-07-01,90.7966666666666667
1975-10-01,91.2166666666666667
1976-01-01,90.0933333333333333
1976-04-01,89.8366666666666667
1976-07-01,90.2966666666666667
1976-10-01,91.8700000000000000
1977-01-01,90.6600000000000000
1977-04-01,89.8966666666666667
1977-07-01,88.6200000000000000
1977-10-01,86.3566666666666667
1978-01-01,83.9500000000000000
1978-04-01,83.2266666666666667
1978-07-01,79.8500000000000000
1978-10-01,79.4433333333333333
1979-01-01,80.8500000000000000
1979-04-01,82.7700000000000000
1979-07-01,82.3200000000000000
1979-10-01,84.3266666666666667
1980-01-01,85.2866666666666667
1980-04-01,85.0233333333333333
1980-07-01,82.4200000000000000
1980-10-01,83.5400000000000000
1981-01-01,84.9966666666666667
1981-04-01,89.1333333333333333
1981-07-01,93.8533333333333333
1981-10-01,90.8500000000000000
1982-01-01,93.9866666666666667
1982-04-01,97.7766666666666667
1982-07-01,102.8033333333333333
1982-10-01,102.9833333333333333
1983-01-01,102.2300000000000000
1983-04-01,102.7366666666666667
1983-07-01,104.7233333333333333
1983-10-01,103.9066666666666667
1984-01-01,103.9766666666666667
1984-04-01,104.5533333333333333
1984-07-01,109.4633333333333333
1984-10-01,111.2533333333333333
1985-01-01,115.1433333333333333
1985-04-01,112.5733333333333333
1985-07-01,110.5533333333333333
1985-10-01,105.8700000000000000
1986-01-01,99.9733333333333333
1986-04-01,95.5466666666666667
1986-07-01,92.9233333333333333
1986-10-01,93.1600000000000000
1987-01-01,89.2800000000000000
1987-04-01,86.2900000000000000
1987-07-01,87.0666666666666667
1987-10-01,83.3466666666666667
1988-01-01,80.1700000000000000
1988-04-01,78.9466666666666667
1988-07-01,82.4466666666666667
1988-10-01,79.4133333333333333
1989-01-01,80.4766666666666667
1989-04-01,83.0700000000000000
1989-07-01,83.4766666666666667
1989-10-01,82.4933333333333333
1990-01-01,81.9833333333333333
1990-04-01,82.2166666666666667
1990-07-01,79.3333333333333333
1990-10-01,76.2466666666666667
1991-01-01,76.4333333333333333
1991-04-01,79.4900000000000000
1991-07-01,79.3200000000000000
1991-10-01,76.4433333333333333
1992-01-01,76.6366666666666667
1992-04-01,76.6766666666666667
1992-07-01,74.3066666666666667
1992-10-01,77.7200000000000000
1993-01-01,79.1100000000000000
1993-04-01,76.9666666666666667
1993-07-01,77.7400000000000000
1993-10-01,78.7866666666666667
1994-01-01,79.1933333333333333
1994-04-01,78.6600000000000000
1994-07-01,76.8700000000000000
1994-10-01,76.7666666666666667
1995-01-01,79.6933333333333333
1995-04-01,74.8366666666666667
1995-07-01,76.7233333333333333
1995-10-01,79.0200000000000000
1996-01-01,80.1566666666666667
1996-04-01,80.2900000000000000
1996-07-01,80.2566666666666667
1996-10-01,80.7433333333333333
1997-01-01,83.3333333333333333
1997-04-01,83.6966666666666667
1997-07-01,84.3566666666666667
1997-10-01,86.5800000000000000
1998-01-01,89.6333333333333333
1998-04-01,90.2033333333333333
1998-07-01,92.5700000000000000
1998-10-01,88.5500000000000000
1999-01-01,88.3500000000000000
1999-04-01,89.0633333333333333
1999-07-01,88.3366666666666667
1999-10-01,87.0466666666666667
2000-01-01,88.3366666666666667
2000-04-01,90.7100000000000000
2000-07-01,91.6633333333333333
2000-10-01,94.1200000000000000
2001-01-01,95.1733333333333333
2001-04-01,97.0400000000000000
2001-07-01,96.4966666666666667
2001-10-01,96.7866666666666667
2002-01-01,98.5466666666666667
2002-04-01,96.1966666666666667
2002-07-01,93.5466666666666667
2002-10-01,93.8066666666666667
2003-01-01,91.6466666666666667
2003-04-01,88.1766666666666667
2003-07-01,88.5666666666666667
2003-10-01,84.9933333333333333
2004-01-01,83.1733333333333333
2004-04-01,86.0233333333333333
2004-07-01,85.1033333333333333
2004-10-01,81.1400000000000000
2005-01-01,80.5200000000000000
2005-04-01,82.3400000000000000
2005-07-01,83.6233333333333333
2005-10-01,84.8233333333333333
2006-01-01,83.8000000000000000
2006-04-01,82.9233333333333333
2006-07-01,82.6200000000000000
2006-10-01,81.5466666666666667
2007-01-01,82.3966666666666667
2007-04-01,81.1600000000000000
